account number,name,status
740150,Barton LLC,gold
714466,Trantow-Barrows,silver
218895,Kulas Inc,bronze
307599,"Kassulke, Ondricka and Metz",bronze
412290,Jerde-Hilpert,bronze
729833,Koepp Ltd,silver
146832,Kiehn-Spinka,silver
688981,Keeling LLC,silver
786968,"Frami, Hills and Schmidt",silver
239344,Stokes LLC,gold
672390,Kuhn-Gusikowski,silver
141962,Herman LLC,gold
424914,White-Trantow,silver
527099,Sanford and Sons,bronze
642753,Pollich LLC,bronze
257198,"Cronin, Oberbrunner and Spencer",gold
